attack_id,category,instance,n,m,budget_pct,budget,attacker,k,mu_thresh,d_ari_q,d_nmi_q,d_ari_cpm,d_nmi_cpm
LFR__n200_s0__b50__muMEA__k5__mu10,LFR,n200_s0,200,1019,0.05,50,muMEA,5,10,-0.010226473394776447,-0.014160208466394375,0.015659289941732074,0.005434531909190021
LFR__n200_s0__b50__muMEA__k5__mu15,LFR,n200_s0,200,1019,0.05,50,muMEA,5,15,-0.09462347389429389,-0.09718849550252504,-5.2074371370225414e-05,-0.017875092357308525
LFR__n200_s0__b50__muMEA__k5__mu20,LFR,n200_s0,200,1019,0.05,50,muMEA,5,20,0.0026692734925427564,0.0077090543841719095,-0.0060992314266455905,-0.02399250781753068
LFR__n200_s0__b50__muMEA-best__k5,LFR,n200_s0,200,1019,0.05,50,muMEA-best,5,,0.0026692734925427564,0.0077090543841719095,0.015659289941732074,0.005434531909190021
LFR__n200_s0__b50__SA-Q__k5,LFR,n200_s0,200,1019,0.05,50,SA-Q,5,,0.08708094087898313,0.11677562093238752,0.01039321793676426,0.007588273897852382
LFR__n200_s0__b50__SA-CPM__k5,LFR,n200_s0,200,1019,0.05,50,SA-CPM,5,,-0.04212332482926602,-0.026767583422055624,0.1435814837606342,0.1511628816229581
LFR__n200_s0__b50__muMEA__k10__mu10,LFR,n200_s0,200,1019,0.05,50,muMEA,10,10,-0.029942197424897787,-0.0332079738511637,-0.04619490154294292,-0.06413992306984098
LFR__n200_s0__b50__muMEA__k10__mu15,LFR,n200_s0,200,1019,0.05,50,muMEA,10,15,0.011218344018781898,-0.0007480867201596353,0.044103743564026104,0.0472694698210466
LFR__n200_s0__b50__muMEA__k10__mu20,LFR,n200_s0,200,1019,0.05,50,muMEA,10,20,0.01953957501739788,0.02727513989394416,0.08007618645338185,0.026390903825077472
LFR__n200_s0__b50__muMEA-best__k10,LFR,n200_s0,200,1019,0.05,50,muMEA-best,10,,0.01953957501739788,0.02727513989394416,0.08007618645338185,0.0472694698210466
LFR__n200_s0__b50__SA-Q__k10,LFR,n200_s0,200,1019,0.05,50,SA-Q,10,,0.08854788354184198,0.127682491717449,-0.04314694012771739,-0.06785391716718184
LFR__n200_s0__b50__SA-CPM__k10,LFR,n200_s0,200,1019,0.05,50,SA-CPM,10,,0.011142724871708892,0.01936251498720623,0.1534569272559852,0.14201209696082184
LFR__n200_s0__b101__muMEA__k5__mu10,LFR,n200_s0,200,1019,0.1,101,muMEA,5,10,0.03573423867542229,0.047594291333926314,0.026215184700516758,0.01848415473783141
LFR__n200_s0__b101__muMEA__k5__mu15,LFR,n200_s0,200,1019,0.1,101,muMEA,5,15,0.014673268724589905,0.00725002685675169,-0.010744307270844494,-0.027906540538297858
LFR__n200_s0__b101__muMEA__k5__mu20,LFR,n200_s0,200,1019,0.1,101,muMEA,5,20,0.0026692734925427564,0.0077090543841719095,-0.0060992314266455905,-0.02399250781753068
LFR__n200_s0__b101__muMEA-best__k5,LFR,n200_s0,200,1019,0.1,101,muMEA-best,5,,0.03573423867542229,0.047594291333926314,0.026215184700516758,0.01848415473783141
LFR__n200_s0__b101__SA-Q__k5,LFR,n200_s0,200,1019,0.1,101,SA-Q,5,,0.07982322224643396,0.11594084261942136,-0.004093884732526559,-0.01923534950568956
LFR__n200_s0__b101__SA-CPM__k5,LFR,n200_s0,200,1019,0.1,101,SA-CPM,5,,-0.03209505889120079,-0.03114231607610482,0.1832545801033666,0.19506113984218762
LFR__n200_s0__b101__muMEA__k10__mu10,LFR,n200_s0,200,1019,0.1,101,muMEA,10,10,0.0021719687455035164,0.0001604242091237662,-0.009001644574122142,-0.011314136012522763
LFR__n200_s0__b101__muMEA__k10__mu15,LFR,n200_s0,200,1019,0.1,101,muMEA,10,15,0.017646450727609717,0.049769412933547766,0.048484719197155884,0.04172054780582121
LFR__n200_s0__b101__muMEA__k10__mu20,LFR,n200_s0,200,1019,0.1,101,muMEA,10,20,0.011749635005232961,0.02051934305184075,0.14570450391149492,0.08005830594578611
LFR__n200_s0__b101__muMEA-best__k10,LFR,n200_s0,200,1019,0.1,101,muMEA-best,10,,0.017646450727609717,0.049769412933547766,0.14570450391149492,0.08005830594578611
LFR__n200_s0__b101__SA-Q__k10,LFR,n200_s0,200,1019,0.1,101,SA-Q,10,,0.0926907291253337,0.1344860634845883,-0.08992350645035369,-0.09026586137520595
LFR__n200_s0__b101__SA-CPM__k10,LFR,n200_s0,200,1019,0.1,101,SA-CPM,10,,0.020077343995658706,0.03160051239597052,0.1794710754924971,0.1876725768924053
LFR__n200_s1__b51__muMEA__k5__mu10,LFR,n200_s1,200,1033,0.05,51,muMEA,5,10,-0.02737344347568127,-0.05742333172799585,0.11729657668009041,0.07609898557741362
LFR__n200_s1__b51__muMEA__k5__mu15,LFR,n200_s1,200,1033,0.05,51,muMEA,5,15,0.06173953591456577,0.021325782562595985,0.2329583489113017,0.1993144547781403
