deg_u,deg_v,deg_min,deg_max,common_neighbors,jaccard,adamic_adar,same_pred_comm,boundary_u,boundary_v,cc_u,cc_v,tri_u,tri_v,mu_triad_part_u,mu_triad_part_v,y,attacker,category,instance,attack_id
12,11,11,12,1,0.045454545454545456,0.29401410379520604,0,4,4,0.12121212121212122,0.09090909090909091,8,5,2,2,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
7,14,7,14,1,0.05,0.267546386419054,0,4,3,0.14285714285714285,0.16483516483516483,3,15,0,4,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,14,9,14,3,0.15,1.0130375165963514,1,2,4,0.2777777777777778,0.14285714285714285,10,13,0,3,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
18,6,6,18,1,0.043478260869565216,0.3789231816899512,0,4,3,0.16993464052287582,0.06666666666666667,26,1,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,5,5,8,0,0.0,0.0,0,3,2,0.0,0.2,0,2,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,11,9,11,2,0.1111111111111111,0.7814447287888047,0,2,4,0.2777777777777778,0.03636363636363636,10,2,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,6,6,10,0,0.0,0.0,0,4,3,0.044444444444444446,0.0,2,0,1,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
11,10,10,11,0,0.0,0.0,0,3,4,0.01818181818181818,0.17777777777777778,1,8,1,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,15,10,15,0,0.0,0.0,0,4,3,0.022222222222222223,0.1619047619047619,1,17,1,3,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,8,8,10,0,0.0,0.0,0,4,4,0.06666666666666667,0.03571428571428571,3,1,1,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
15,14,14,15,1,0.03571428571428571,0.43429448190325176,0,4,4,0.06666666666666667,0.054945054945054944,7,5,7,3,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,5,5,5,0,0.0,0.0,0,2,3,0.0,0.0,0,0,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,14,10,14,2,0.09090909090909091,0.8150597977361226,0,4,4,0.06666666666666667,0.21978021978021978,3,20,1,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
12,14,12,14,0,0.0,0.0,0,4,5,0.09090909090909091,0.07692307692307693,6,7,6,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
7,16,7,16,2,0.09523809523809523,0.7378475181478632,1,3,5,0.2857142857142857,0.075,6,9,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,14,5,14,0,0.0,0.0,0,3,5,0.1,0.07692307692307693,1,7,1,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,13,5,13,1,0.058823529411764705,0.4170323914242463,0,4,4,0.1,0.07692307692307693,1,6,0,5,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,15,8,15,2,0.09523809523809523,0.6649052451649946,0,4,3,0.0,0.1619047619047619,0,17,0,3,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,12,8,12,2,0.1111111111111111,0.688198361972656,0,2,3,0.14285714285714285,0.07575757575757576,4,5,1,4,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,7,6,7,1,0.08333333333333333,0.3396232718951086,0,5,4,0.0,0.09523809523809523,0,2,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,8,8,9,1,0.0625,0.4170323914242463,0,3,3,0.08333333333333333,0.25,3,7,2,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,10,6,10,0,0.0,0.0,0,5,3,0.0,0.2222222222222222,0,10,0,3,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
12,21,12,21,1,0.03125,0.48089834696298783,0,4,4,0.09090909090909091,0.16666666666666666,6,35,6,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
11,6,6,11,0,0.0,0.0,0,2,2,0.21818181818181817,0.2,12,3,1,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,8,6,8,0,0.0,0.0,0,2,4,0.0,0.14285714285714285,0,4,0,4,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,8,5,8,1,0.08333333333333333,0.48089834696298783,0,3,3,0.1,0.07142857142857142,1,2,1,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,12,9,12,1,0.05,0.36067376022224085,0,5,3,0.0,0.3181818181818182,0,21,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,5,5,6,0,0.0,0.0,0,2,2,0.0,0.0,0,0,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,5,5,6,1,0.1,0.36926937306885504,0,3,3,0.13333333333333333,0.1,2,1,2,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
23,6,6,23,3,0.11538461538461539,1.0147854115567205,0,5,3,0.05533596837944664,0.0,14,0,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,7,6,7,0,0.0,0.0,0,3,4,0.0,0.0,0,0,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,15,10,15,0,0.0,0.0,0,4,3,0.06666666666666667,0.09523809523809523,3,10,1,3,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
18,12,12,18,1,0.034482758620689655,0.45511961331341866,0,4,4,0.05228758169934641,0.06060606060606061,8,4,0,3,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
5,8,5,8,1,0.08333333333333333,0.3396232718951086,0,3,5,0.1,0.17857142857142858,1,5,1,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,6,6,9,0,0.0,0.0,0,5,3,0.027777777777777776,0.0,1,0,1,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,8,8,9,1,0.0625,0.3789231816899512,0,3,4,0.08333333333333333,0.03571428571428571,3,1,2,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
11,6,6,11,0,0.0,0.0,0,2,3,0.21818181818181817,0.06666666666666667,12,1,1,1,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
9,15,9,15,0,0.0,0.0,0,4,3,0.1111111111111111,0.23809523809523808,4,25,1,4,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,5,5,8,0,0.0,0.0,1,2,2,0.14285714285714285,0.0,4,0,1,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,8,6,8,1,0.07692307692307693,0.267546386419054,0,4,3,0.13333333333333333,0.25,2,7,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,15,8,15,0,0.0,0.0,0,4,3,0.10714285714285714,0.047619047619047616,3,5,1,3,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
6,6,6,6,0,0.0,0.0,0,4,4,0.06666666666666667,0.0,1,0,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
8,6,6,8,0,0.0,0.0,0,3,4,0.07142857142857142,0.06666666666666667,2,1,0,0,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
10,10,10,10,1,0.05263157894736842,0.4170323914242463,0,4,3,0.06666666666666667,0.08888888888888889,3,4,1,2,1,SA-Q,LFR,n200_s1,LFR__n200_s1__b51__SA-Q__k5
